"# GtoPdb Version: 2025.1 - published: 2025-04-01"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID"
"4-1BB","1878",,"TNFRSF9","Q07011","ENSG00000049249",,"",,,,,"","Human","12060","BT7480","Peptide",,,,"472319182","false","Agonist","Agonist","","Not Determined","false","false","","pKd","","8.430000305175781","","Kd","","3.700000047683716","","~","Binding affinity for CD137 in the 1:1 format molecule BCY11858, which has the same CD137 Bicycle as BCY11863 but is a 1:2 format construct","","","35819182"
"4-1BB","1878",,"TNFRSF9","Q07011","ENSG00000049249",,"",,,,,"","Human","9311","urelumab","Antibody",,,,"318164830","false","Antibody","Agonist","","Selective","false","true","","pKd","","7.78000020980835","","Kd","","16.610000610351562","","=","Dissociation constant for the 20H4-9-IgG4 clone binding to human 4-1BB","","",
"4-1BB","1878",,"TNFRSF9","Q07011","ENSG00000049249",,"",,,,,"","Human","9244","utomilumab","Antibody",,,,"315661319","false","Antibody","Agonist","","Selective","false","true","","pKd","","8.0600004196167","","Kd","","8.699999809265137","","=","Binding to 4-1BB extracellular domain measured using a surface plasmon resonance (SPR) biosensor assay.","","","22406983"
"4-1BB","1878",,"TNFRSF9","Q07011","ENSG00000049249",,"",,,,,"","Human","5081","4-1BB ligand","Peptide",,"TNFSF9","Human","178101774","false","None","None",,"Non-selective","true","false",,"-","","","",,"","","",,,,,
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","10662","BMS-986260","Synthetic organic",,,,"404859109","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.150000095367432","","IC50","","70.4000015258789","","=","","","","32071685"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","8155","compound 13a [PMID: 23639540]","Synthetic organic",,,,"249565835","false","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","7.269999980926514","","IC50","","53.400001525878906","","=","","","","23639540"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","8120","compound 13d [PMID: 23639540]","Synthetic organic",,,,"249565800","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.300000190734863","","IC50","","5.0","","<","","","","23639540"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","8144","compound 13r [PMID: 23639540]","Synthetic organic",,,,"249565824","false","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","8.300000190734863","","IC50","","5.0","","<","","","","23639540"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","12485","compound 7 [Nguyen <i>et al.</i>, 2023]","Synthetic organic",,,,"479821275","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.03000020980835","","IC50","","930.0","","=","","","",
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","11875","fidrisertib","Synthetic organic",,,,"461663431","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.0","","IC50","","10.0","","<","","","",
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","10632","itacnosertib","Synthetic organic",,,,"404859079","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.0","","IC50","","10.0","","<","Inhibitory activity against human AKL2, determined using a LanthaScreen&reg; binding assay.","","",
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","13266","K02288","Synthetic organic",,,,"491300048","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.960000038146973","","IC50","","1.100000023841858","","=","","","","34780900"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","8481","LDN-214117","Synthetic organic",,,,"252166689","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","7.619999885559082","","IC50","","24.0","","=","","","","25101911"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","8121","ML347","Synthetic organic",,,,"249565801","false","Inhibitor","Inhibition","","Not Determined","false","true","","pIC50","","7.489999771118164","","IC50","","32.0","","=","","","","23639540"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","7791","momelotinib","Synthetic organic",,,,"223366122","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.079999923706055","","IC50","","8.399999618530273","","=","","","","28188131"
"activin A receptor type 1","1785",,"ACVR1","Q04771","ENSG00000115170",,"",,,,,"","Human","11888","zilurgisertib","Synthetic organic",,,,"461663444","false","Inhibitor","Inhibition","","Selective","false","false","","pIC50","","7.639999866485596","","IC50","","23.0","","=","","","",
"activin A receptor type 1B","1787",,"ACVR1B","P36896","ENSG00000135503",,"",,,,,"","Human","10662","BMS-986260","Synthetic organic",,,,"404859109","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.480000019073486","","IC50","","33.29999923706055","","=","","","","32071685"
"activin A receptor type 1B","1787",,"ACVR1B","P36896","ENSG00000135503",,"",,,,,"","Human","8120","compound 13d [PMID: 23639540]","Synthetic organic",,,,"249565800","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.489999771118164","","IC50","","326.0","","=","","","","23639540"
"activin A receptor type 1B","1787",,"ACVR1B","P36896","ENSG00000135503",,"",,,,,"","Human","8144","compound 13r [PMID: 23639540]","Synthetic organic",,,,"249565824","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.739999771118164","","IC50","","183.0","","=","","","","23639540"
"activin A receptor type 1B","1787",,"ACVR1B","P36896","ENSG00000135503",,"",,,,,"","Human","7797","galunisertib","Synthetic organic",,,,"223366128","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.110000133514404","","IC50","","78.0","","=","Value determined usinfg the DiscoverX KINOMEscan platform.","","","29467918"
"activin A receptor type 1B","1787",,"ACVR1B","P36896","ENSG00000135503",,"",,,,,"","Human","8107","vactosertib","Synthetic organic",,,,"249565787","false","Inhibitor","Inhibition","","Selective","false","true","","pIC50","","7.889999866485596","","IC50","","13.0","","=","Measured using Reaction Biology Corporation's HotSpot kinase assay","","","24786585"
"activin A receptor type 1C","1790",,"ACVR1C","Q8NER5","ENSG00000123612",,"",,,,,"","Human","8216","SB-431542","Synthetic organic",,,,"249565896","false","Inhibitor","Inhibition","","Not Determined","false","false","","-","","","","-","","","","=","","","","23130626|19616940"
