,fdp,power,method,seed
0,0.0,0.0,acsaug,0
0,0.0,0.0,CS,0
0,0.19230769230769232,0.40384615384615385,acsaug,1
0,0.16666666666666666,0.09615384615384616,CS,1
0,0.10714285714285714,0.5208333333333334,acsaug,2
0,0.3333333333333333,0.041666666666666664,CS,2
0,0.08333333333333333,0.25,acsaug,3
0,0.0,0.0,CS,3
0,0.07692307692307693,0.47058823529411764,acsaug,4
0,0.25,0.11764705882352941,CS,4
0,0.13333333333333333,0.4642857142857143,acsaug,5
0,0.0,0.0,CS,5
0,0.0,0.14545454545454545,acsaug,6
0,0.0,0.12727272727272726,CS,6
0,0.0625,0.26785714285714285,acsaug,7
0,0.0,0.08928571428571429,CS,7
0,0.08333333333333333,0.22,acsaug,8
0,0.21428571428571427,0.22,CS,8
0,0.15,0.32075471698113206,acsaug,9
0,0.0,0.09433962264150944,CS,9
0,0.058823529411764705,0.32,acsaug,10
0,0.32,0.34,CS,10
0,0.0,0.0,acsaug,11
0,0.0,0.0,CS,11
0,0.041666666666666664,0.46,acsaug,12
0,0.0,0.0,CS,12
0,0.0,0.4,acsaug,13
0,0.0,0.0,CS,13
0,0.0,0.23076923076923078,acsaug,14
0,0.0,0.0,CS,14
0,0.0,0.0,acsaug,15
0,0.2,0.1951219512195122,CS,15
0,0.16129032258064516,0.5306122448979592,acsaug,16
0,0.0,0.0,CS,16
0,0.13636363636363635,0.3958333333333333,acsaug,17
0,0.0,0.0,CS,17
0,0.25,0.3,acsaug,18
0,0.0,0.0,CS,18
0,0.1111111111111111,0.18604651162790697,acsaug,19
0,0.0,0.023255813953488372,CS,19
